,date,likes,comments,reposts
0,12h,54,7,0
1,5d,80,19,0
2,6d,77,5,0
3,1w,52,5,0
4,1w,155,44,2
5,1w,101,5,0
6,2w,106,15,1
7,2w,82,7,0
8,2w,82,24,1
9,3w,334,32,0
10,3w,122,25,0
11,1mo,37,1,0
12,1mo,60,6,0
13,1mo,77,9,0
14,1mo,225,15,0
15,1mo,137,25,1
16,1mo,45,14,0
17,1mo,97,10,1
18,1mo,93,2,0
19,1mo,188,28,0
20,1mo,47,1,0
21,1mo,71,6,0
22,1mo,116,61,0
23,2mo,45,4,1
24,2mo,95,8,0
25,2mo,60,3,0
26,2mo,59,11,0
27,2mo,58,10,0
28,2mo,61,3,0
29,2mo,134,18,0
30,2mo,70,25,0
31,2mo,50,3,0
32,2mo,110,22,0
33,2mo,102,14,0
34,3mo,114,7,1
35,3mo,85,26,0
36,3mo,74,12,0
37,3mo,103,17,0
38,3mo,40,0,0
39,3mo,67,43,0
40,3mo,258,16,2
41,3mo,41,8,0
42,3mo,56,11,0
43,3mo,93,27,0
44,3mo,70,1,0
45,3mo,88,24,0
46,4mo,46,5,0
47,4mo,37,12,0
48,4mo,55,5,0
49,4mo,93,10,0
50,4mo,51,15,0
51,4mo,35,4,0
52,4mo,97,32,0
53,4mo,93,51,0
54,4mo,146,24,0
55,4mo,74,40,0
56,4mo,177,33,0
57,4mo,59,13,0
58,5mo,56,11,0
59,5mo,64,3,0
60,5mo,98,12,0
61,5mo,142,41,0
62,5mo,42,0,0
63,5mo,51,24,0
64,5mo,53,7,0
65,5mo,65,20,0
66,5mo,43,11,0
67,5mo,80,5,0
68,5mo,59,12,0
69,5mo,30,17,0
70,6mo,63,13,0
71,6mo,28,1,0
72,6mo,44,1,0
73,6mo,78,21,0
74,6mo,96,4,0
75,6mo,76,11,0
76,6mo,33,11,0
77,6mo,92,52,0
78,6mo,43,22,1
79,6mo,95,21,1
80,6mo,86,9,0
81,6mo,77,12,0
82,7mo,108,20,0
83,7mo,180,40,1
84,7mo,56,7,0
85,7mo,134,19,0
86,7mo,73,2,0
87,7mo,83,43,0
88,7mo,25,5,0
89,7mo,65,10,0
90,7mo,130,11,0
91,7mo,122,22,0
92,7mo,162,25,0
93,7mo,120,7,0
94,7mo,163,7,0
95,8mo,78,5,2
96,8mo,26,2,0
97,8mo,51,3,0
98,8mo,53,3,0
99,8mo,79,5,0
100,8mo,45,3,0
101,8mo,39,6,0
102,8mo,124,19,0
103,8mo,90,45,0
104,8mo,63,10,0
105,8mo,136,9,0
106,8mo,50,35,1
107,8mo,204,12,0
108,8mo,58,6,2
109,9mo,66,1,0
110,9mo,57,6,0
111,9mo,144,19,0
112,9mo,38,2,0
113,9mo,106,8,0
114,9mo,86,13,0
115,9mo,96,10,0
116,9mo,72,8,0
117,9mo,44,7,0
118,9mo,38,1,0
119,9mo,105,21,0
120,9mo,64,11,0
121,9mo,37,5,0
122,9mo,76,3,0
123,10mo,54,27,0
124,10mo,59,16,0
125,10mo,68,21,0
126,10mo,89,4,0
127,10mo,263,78,0
128,10mo,75,30,0
129,10mo,97,6,0
130,10mo,85,17,1
131,10mo,57,1,0
132,10mo,364,77,3
133,10mo,45,5,0
134,10mo,52,2,1
135,11mo,180,100,0
136,11mo,54,34,0
137,11mo,115,8,0
138,11mo,79,39,0
139,11mo,85,24,0
140,11mo,279,78,0
141,11mo,63,11,1
142,11mo,108,8,0
143,11mo,113,9,1
144,11mo,44,10,0
145,11mo,30,7,0
146,11mo,68,16,1
147,11mo,187,2,0
148,1yr,85,17,0
149,1yr,178,26,1
150,1yr,53,4,0
151,1yr,26,4,0
